id,category,original_question,original_answer,mcq_question,option_a,option_b,option_c,option_d,answer
1910.10408,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Controlling the Output Length of Neural Machine Translation,"" do the authors experiment with combining the two proposed methods for output length control?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Yes, the authors experiment with combining the two proposed methods for output length control.","In the paper 'Controlling the Output Length of Neural Machine Translation,' what did the authors do regarding the two proposed methods for output length control?",They only used each method separately without combining them.,They proposed three new methods instead.,They did not use either of the proposed methods.,They experimented with combining the two proposed methods.,D
1903.00058,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Non-Parametric Adaptation for Neural Machine Translation,"" from where do the authors retrieve neighbor n-grams in their proposed approach?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Neighbor n-grams are retrieved from the training set by representing each sentence as a reduced n-gram set and finding the closest n-gram in the training set using IDF similarity.,"In the paper 'Non-Parametric Adaptation for Neural Machine Translation,' from where do the authors retrieve neighbor n-grams for their approach?",From the training set using IDF similarity,From a random corpus using TF similarity,From the validation set using bigram matching,From the test set using word frequency,A
1903.00058,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Non-Parametric Adaptation for Neural Machine Translation,"" which baseline systems do the authors use for comparison in their experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",standard Transformer Base model,Which model did the authors use as a baseline system for comparison in their experiments in the paper 'Non-Parametric Adaptation for Neural Machine Translation'?,Random Forest,Convolutional Neural Network,Support Vector Machine,Standard Transformer Base model,D
1903.00058,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Non-Parametric Adaptation for Neural Machine Translation,"" is the combination of the non-parametric retrieval mechanism and the neural network trained end-to-end?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Yes. The combination is trained end-to-end: ""The semi-parametric models were trained on 32 GPUs with each replica split over 2 GPUs, one to train the translation model and the other for computing the CSTM.""","In the paper 'Non-Parametric Adaptation for Neural Machine Translation', how is the combination of the non-parametric retrieval mechanism and the neural network trained?",They are trained end-to-end.,"Only the neural network is trained, the retrieval mechanism is fixed.",They are trained independently and then combined.,Neither component is trained.,A
1903.00058,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Non-Parametric Adaptation for Neural Machine Translation,"" which similarity measure is used for their n-gram retrieval approach?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Inverse document frequency (IDF) based similarity score.,Which similarity measure is used for the n-gram retrieval approach in 'Non-Parametric Adaptation for Neural Machine Translation'?,Euclidean distance,Inverse document frequency (IDF) based similarity score,Cosine similarity,Jaccard similarity,B
2002.08899,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Compositional Neural Machine Translation by Removing the Lexicon from Syntax,"" does the use of constrained neural units mean that word meanings are fixed across different contexts?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","No; constrained neural units separate word meaning from syntax, preventing context-invariant (fixed) meanings from being encoded in syntax representations, so word meanings are not fixed across contexts.","In the paper 'Compositional Neural Machine Translation by Removing the Lexicon from Syntax,' what effect do constrained neural units have on word meanings across different contexts?",They allow syntax to encode all possible word meanings.,They fix word meanings across all contexts.,They combine word meanings and syntax into single representations.,They ensure word meanings remain separate from syntax and are not fixed across contexts.,D
2002.08899,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Compositional Neural Machine Translation by Removing the Lexicon from Syntax,"" do the authors present a quantitative analysis demonstrating knowledge distortions in their model?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Yes; the authors present quantitative analysis, including corpus-level results (mean precision on test sets) from damaged models, demonstrating knowledge distortions analogous to human aphasia.","In the paper 'Compositional Neural Machine Translation by Removing the Lexicon from Syntax,' what do the authors present to show knowledge distortions in their model?",No analysis of any kind,A review of related work without presenting new results,"Quantitative analysis, including corpus-level results from damaged models",Only qualitative anecdotal examples,C
2002.08899,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Compositional Neural Machine Translation by Removing the Lexicon from Syntax,"" how do the authors damage the different neural modules during their experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Randomly initializing the weights of neural modules, resulting in loss of all learned information.",How do the authors damage the neural modules during their experiments in the paper 'Compositional Neural Machine Translation by Removing the Lexicon from Syntax'?,By introducing adversarial examples during testing.,By randomly initializing the weights of the neural modules.,By deleting layers from the network.,By reducing the size of the training dataset.,B
2002.02427,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Irony Detection in a Multilingual Context,"" which multilingual word representations are utilized for the irony detection task?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Multilingual word representation that learns a linear mapping from a source to a target embedding space; specifically, Conneau et al.'s approach for aligning embedding spaces across languages.",Which word representation methodology is employed in the paper 'Irony Detection in a Multilingual Context' for irony detection?,A bag-of-words model without considering embeddings.,An n-gram language model trained from scratch on each language.,A multilingual word representation that aligns embedding spaces across languages using Conneau et al.'s approach.,A monolingual word representation for each language separately.,C
2002.02427,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Irony Detection in a Multilingual Context,"" do the authors discuss any cultural differences in the use of irony?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Yes; the authors discuss cultural differences, noting both shared pragmatic devices and similar text-based patterns in ironic tweets across European and non-European languages, but also highlight challenges due to informal language, dialects, and differences in language presentation.","According to the paper 'Irony Detection in a Multilingual Context', do the authors address cultural differences in how irony is used?",No; they state there are no cultural differences in the use of irony.,They claim irony does not exist outside of European languages.,Yes; they discuss both shared and differing aspects in the use of irony across cultures.,The paper focuses only on technical aspects and ignores cultural factors.,C
2002.02427,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Irony Detection in a Multilingual Context,"" which neural architectures are employed for irony detection?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Convolutional Neural Network (CNN),Which neural architecture is employed for irony detection in the paper 'Irony Detection in a Multilingual Context'?,Recurrent Neural Network (RNN),Transformer,Long Short-Term Memory (LSTM),Convolutional Neural Network (CNN),D
2002.02427,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Irony Detection in a Multilingual Context,"" what specific text-based features are utilized for irony detection?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Language-independent features: punctuation marks, positive and negative emoticons, quotations, personal pronouns, tweet's length, named entities; language-dependent features: negation, opinion lexicons, opposition words.",Which of the following is NOT mentioned as a feature used for irony detection in the paper 'Irony Detection in a Multilingual Context'?,Punctuation marks,Named entities,Topic modeling,Emoticons,C
2002.02427,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Irony Detection in a Multilingual Context,"" which monolingual word representations are utilized for the irony detection task?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","AraVec for Arabic, FastText for French, and Word2vec Google News for English.",Which set of monolingual word representations is used for irony detection in a multilingual context as described in the paper?,"AraVec for Arabic, FastText for French, and Word2vec Google News for English.","GloVe for Arabic, FastText for French, and AraVec for English.","FastText for Arabic, AraVec for French, and Word2vec Google News for English.","Word2vec Google News for Arabic, AraVec for French, and FastText for English.",A
1610.05243,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
Which dataset is used in the paper ""Pre-Translation for Neural Machine Translation""?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","All parallel data available for the WMT 2016, including the news commentary corpus, European parliament proceedings, and common crawl corpus.","Which of the following datasets is used in the paper ""Pre-Translation for Neural Machine Translation""?",The COCO image captioning dataset.,Penn Treebank corpus.,Only the IWSLT2014 TED Talks dataset.,"All parallel data available for the WMT 2016, including the news commentary corpus, European parliament proceedings, and common crawl corpus.",D
1610.05243,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Pre-Translation for Neural Machine Translation,"" how is the phrase-based machine translation (PBMT) system trained?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",systems were optimized on the tst2014 using Minimum error rate training (MERT),How was the phrase-based machine translation (PBMT) system trained in the paper 'Pre-Translation for Neural Machine Translation'?,It used reinforcement learning for optimization.,It was optimized using stochastic gradient descent.,It was optimized on tst2014 using Minimum error rate training (MERT).,It was trained by maximizing log-likelihood on the training data.,C
1610.05243,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
Which neural machine translation (NMT) architecture is used in the paper ""Pre-Translation for Neural Machine Translation""?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","trained using Nematus, default configuration","Which NMT architecture is used in the paper ""Pre-Translation for Neural Machine Translation""?",Transformer,Marian,OpenNMT,Nematus,D
1610.05243,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Pre-Translation for Neural Machine Translation,"" do the authors train their Neural Machine Translation (NMT) model using outputs generated by a Phrase-Based Machine Translation (PBMT) system?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",Yes.,"According to the paper 'Pre-Translation for Neural Machine Translation,' how did the authors train their NMT model?",They trained it only with human-generated reference translations.,They did not train it at all.,They trained it using outputs from a PBMT system.,They trained it using outputs from a rule-based MT system.,C
1910.11768,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Exploring Multilingual Syntactic Sentence Representations,"" which evaluation metrics do the authors use for language modelling?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","functional dissimilarity score, nearest neighbours experiment",Which of the following evaluation metrics were used by the authors for language modelling in 'Exploring Multilingual Syntactic Sentence Representations'?,Functional dissimilarity score and nearest neighbours experiment,Word error rate and F1 score,Perplexity and accuracy,BLEU score and ROUGE score,A
1910.11768,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Exploring Multilingual Syntactic Sentence Representations,"" do the authors perform a quantitative analysis to evaluate the quality of the learned sentence embeddings?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Yes; the authors perform a quantitative analysis, as shown by high nearest neighbours accuracy indicating that syntactic information was successfully captured by the embeddings.",What method did the authors use to assess the quality of their learned sentence embeddings in 'Exploring Multilingual Syntactic Sentence Representations'?,They did not evaluate the embeddings.,They used only automatic machine translation tests.,They performed a quantitative analysis measuring nearest neighbours accuracy.,They relied solely on manual qualitative inspection.,C
1910.11768,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Exploring Multilingual Syntactic Sentence Representations,"" do the authors evaluate their proposed sentence representations on any downstream tasks?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Yes; the authors evaluate their proposed sentence representations on downstream tasks via zero-shot transfer experiments, reporting 1-NN and 5-NN accuracies for multiple languages.",Which of the following is true about the evaluation methods in 'Exploring Multilingual Syntactic Sentence Representations'?,The authors evaluated their representations on image classification tasks only.,The authors assessed their sentence representations using downstream tasks and reported 1-NN and 5-NN accuracies.,The authors only conducted theoretical analysis without empirical evaluation.,The authors did not report any experimental results for their representations.,B
1910.11768,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
Which corpus is used in the paper ""Exploring Multilingual Syntactic Sentence Representations""?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Translations from Tatoeba and OpenSubtitles; 6 languages: English, Spanish, German, Dutch, Korean, Chinese Mandarin.",Which corpora were used in the paper 'Exploring Multilingual Syntactic Sentence Representations'?,"Europarl; 4 languages: English, German, French, Spanish.",Common Crawl dataset; 2 languages: English and Chinese.,"Wikipedia; 3 languages: English, French, Russian.","Tatoeba and OpenSubtitles; 6 languages: English, Spanish, German, Dutch, Korean, Chinese Mandarin.",D
1810.03459,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Multilingual sequence-to-sequence speech recognition: architecture, transfer learning, and language modeling,"" what data do the authors use to train the language models?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}",BABEL speech corpus collected from the IARPA Babel program.,"Which dataset did the authors use to train the language models in the paper 'Multilingual sequence-to-sequence speech recognition: architecture, transfer learning, and language modeling'?",BABEL speech corpus collected from the IARPA Babel program,Common Voice corpus,TED-LIUM corpus,LibriSpeech dataset,A
1810.03459,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Multilingual sequence-to-sequence speech recognition: architecture, transfer learning, and language modeling,"" do the authors report BLEU scores as part of their evaluation metrics?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","No, the authors do not report BLEU scores as part of their evaluation metrics; they primarily use word error rate (WER) for assessment.",Which of the following metrics do the authors of the paper primarily use for their evaluation?,Word Error Rate (WER),BLEU score,ROUGE score,Perplexity,A
1810.03459,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Multilingual sequence-to-sequence speech recognition: architecture, transfer learning, and language modeling,"" which languages are included in their experiments?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","Train languages: Cantonese, Bengali, Pashto, Turkish, Vietnamese, Haitian, Tamil, Kurdish, Tokpisin, Georgian; target languages: Assamese, Tagalog, Swahili, Lao.","Which of the following languages was included in the experiments conducted in the paper 'Multilingual sequence-to-sequence speech recognition: architecture, transfer learning, and language modeling'?",Arabic,Russian,Japanese,Bengali,D
1810.03459,,"Please write a succinct answer to the following question.
You do not need to restate the paper name or answer in complete sentences.

<question>
In the paper ""Multilingual sequence-to-sequence speech recognition: architecture, transfer learning, and language modeling,"" which specific architectures are investigated to enhance the sequence-to-sequence speech recognition model?
</question>

Provide your answer in the following format (output nothing else):


{your answer here}","VGG-BLSTM, BLSTMP, character-level RNNLM (2-layer LSTM).",Which of the following architectures are investigated in the paper to enhance sequence-to-sequence speech recognition?,"Transformer-XL, Feedforward NN, subword-level RNNLM","VGG-BLSTM, BLSTMP, character-level RNNLM (2-layer LSTM)","Convolutional Transformers, GRU, word-level RNNLM","ResNet, vanilla RNN, phoneme-level RNNLM",B
